agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
14,2020-09-23,HS-2020-00199,BOX ELDER-CITY OF,12031676,,2020-09-30,,509.0
11,2020-08-29,06JL-04X,SURFACE PREPARATION TECHNOLOGY,12235251,,2020-09-30,,19757.44
17,2020-09-15,88089464,BOMGAARS SUPPLY INC,12024635,03,2020-09-30,,22.99
17,2020-09-11,7223226981,MCKESSON CORPORATION,12125822,,2020-09-30,,4636.02
19,2020-08-07,DCM2720456,AVERA ST LUKES,12029725,01,2020-09-30,,25.29
06,2020-09-14,9142020,MONTANA-DAKOTA UTILITIES,12020954,12,2020-09-30,,56.04
11,2020-08-13,61276,AGTEGRA COOPERATIVE,12029118,03,2020-09-30,,1410.88
06,2020-09-15,001861982,LYLE SIGNS INC,12020914,01,2020-09-30,,44.48
06,2020-09-08,IN3092214,INNOVATIVE OFFICE SUPPLIES LLC,12550348,,2020-09-30,,6.9
06,2020-09-08,CT4078,EXHAUST PROS OF SIOUX FALLS,12260188,01,2020-09-30,,9181.25
06,2020-09-08,CT4048,EXHAUST PROS OF SIOUX FALLS,12260188,01,2020-09-30,,9181.25
012,2020-07-02,26447,CHRISTENSEN RADIATOR & REPAIR,12043210,,2020-09-30,,139.24
06,2020-09-04,1036,STURGIS TILE COMPANY LLC,12160033,,2020-09-30,,144.0
06,2020-09-03,IN3089673,INNOVATIVE OFFICE SUPPLIES LLC,12550348,,2020-09-30,,156.86
06,2020-09-03,1969320,SIMON CONTRACTORS OF SD INC,12047408,,2020-09-30,,44.3
06,2020-09-16,09162020,MISSISSIPPI INTERSTATE,12025412,,2020-09-30,,1500.0
06,2020-09-16,INV-70821,ALL-AROUND INC,12124293,,2020-09-30,,1484.39
06,2020-09-17,15,"KIRSCH, NOLAN A",12605714,,2020-09-30,,1520.0
11,2020-05-21,155234C,STURDEVANTS AUTO PARTS,12290771,01,2020-09-30,,-15.88
06,2020-09-18,0390994,SUDS & DUDS INC,12049672,,2020-09-30,,146.46
06,2020-09-18,09152020,NORTHWESTERN ENERGY,12028962,,2020-09-30,,11.71
06,2020-09-18,15060,ROBERT HENNRICH,12083991,,2020-09-30,,841.44
06,2020-09-18,16547762-21101,WORLD FUEL SERVICES INC,12226294,,2020-09-30,,82.28
17,2020-09-16,1954074,PROFESSIONAL MEDICAL INC,12559255,,2020-09-30,,1596.9
06,2020-09-10,503748152,MIDAMERICAN ENERGY COMPANY,12025501,,2020-09-30,,165.38
06,2020-09-09,4432,B&H SANITATION LLC,12533589,,2020-09-30,,344.5
06,2020-09-11,11469,SIOUXLAND GRASS & FORAGE LLC,12505483,,2020-09-30,,28.0
06,2020-09-11,1265599,MIDWEST CUSTOM AG AVIATION INC,12625868,,2020-09-30,,3243.0
06,2020-09-11,167059,SPEARFISH AUTO SUPPLY INC,12550672,,2020-09-30,,44.92
19,2020-08-04,VRM200922345921,ST MICHAELS HOSPITAL,12029782,01,2020-09-30,,45.4
06,2020-09-11,3350,COVER UPS LLC,12545684,,2020-09-30,,420.42
06,2020-09-11,9375035,SIOUX FALLS UTILITIES,12055054,06,2020-09-30,,952.71
19,2020-08-04,003-00189987,B & L FOODSTORES INC,12049484,,2020-09-30,,30.77
06,2020-09-12,I5CC-25,"MOELLER, CHRIS",12244532,,2020-09-30,,575.0
11,2020-06-09,7060378,SCHULTE INDUSTRIES LTD,CANADA,A1,2020-09-30,,10720.0
19,2020-08-07,DCM2696339,AVERA ST LUKES,12029725,01,2020-09-30,,11.79
06,2020-09-14,423029,FARNAMS GENUINE PARTS INC,12022095,09,2020-09-30,,8.58
06,2020-09-10,503736303,MIDAMERICAN ENERGY COMPANY,12025501,,2020-09-30,,114.42
19,2020-08-10,21SC193074-JUL20,WESTERN SD SENIOR SVCS INC,12037432,,2020-09-30,,122430.42
19,2020-08-27,DCM2804854,AVERA ST LUKES,12029725,01,2020-09-30,,35.0
06,2020-09-13,2020-0009,"TISH, JONATHAN P",12252676,,2020-09-30,,2479.5
06,2020-09-12,11993831,VENTURE COMMUNICATIONS CO-OP,12030120,,2020-09-30,,217.2
06,2020-09-12,11993197,VENTURE COMMUNICATIONS CO-OP,12030120,,2020-09-30,,44.18
06,2020-09-11,INV7952849,MARCO TECHNOLOGIES LLC,12201534,,2020-09-30,,237.13
06,2020-09-11,503817789,MIDAMERICAN ENERGY COMPANY,12025501,,2020-09-30,,10.0
06,2020-09-11,258200,M & R SIGNS & BILLBOARDS INC,12052888,,2020-09-30,,692.0
06,2020-09-11,1265596,MIDWEST CUSTOM AG AVIATION INC,12625868,,2020-09-30,,4715.0
06,2020-09-11,1265595,MIDWEST CUSTOM AG AVIATION INC,12625868,,2020-09-30,,3565.0
06,2020-09-09,1316804,NORTHWEST PIPE FITTINGS INC,12029986,,2020-09-30,,1075.0
18,2020-09-15,S100423592.001,DAKOTA SUPPLY GROUP,12027834,,2020-09-30,,168.43
06,2020-09-11,1265593,MIDWEST CUSTOM AG AVIATION INC,12625868,,2020-09-30,,2162.0
18,2020-09-17,636877,CONSTRUCTION PRODUCTS AND,12045993,,2020-09-30,,17.88
18,2020-09-18,8729940,JDS INDUSTRIES INC,12542599,,2020-09-30,,177.6
18,2020-09-18,I054436,CHANDLERS INC,12047379,,2020-09-30,,18.0
18,2020-09-18,INV2000091459,ELIOR INC,12548705,01,2020-09-30,,14614.95
18,2020-09-21,UT1000544297,BOB BARKER CO,12114270,,2020-09-30,,104.76
18,2020-09-22,2020-09-10070,DAKOTA PSYCHOLOGICAL SERVICES,12006831,,2020-09-30,,500.0
18,2020-09-22,2020-09-10071,DAKOTA PSYCHOLOGICAL SERVICES,12006831,,2020-09-30,,500.0
18,2020-09-23,2020-05-10072,DAKOTA PSYCHOLOGICAL SERVICES,12006831,,2020-09-30,,40.0
18,2020-09-24,1265414,MARSH USA INC,12621274,,2020-09-30,,50.0
19,2020-09-02,DCM2864861,AVERA ST LUKES,12029725,01,2020-09-30,,35.0
19,2020-09-02,DCM2729107,CIOX HEALTH LLC,12115581,01,2020-09-30,,35.0
18,2020-09-15,INV7962304,MARCO TECHNOLOGIES LLC,12201534,,2020-09-30,,75.01
16,2020-07-30,SD-073020,KIMTEK CORPORATION,12621074,,2020-09-30,,7515.0
18,2020-09-15,6540,SHARPE RENTALS INC,12252176,,2020-09-30,,110.0
18,2020-09-14,S100421907.001,DAKOTA SUPPLY GROUP,12027834,,2020-09-30,,626.75
18,2020-09-10,2020001042976,MAC ARTHUR COMPANY,12020921,,2020-09-30,,49.44
18,2020-09-10,278852,REGENCY MIDWEST VENTURES LTD,12177768,07,2020-09-30,,385.0
18,2020-09-10,IN3095168,INNOVATIVE OFFICE SUPPLIES LLC,12550348,,2020-09-30,,775.1
18,2020-09-10,Z2020-08C,SIOUX FALLS SPECIALTY HOSPITAL,12039607,02,2020-09-30,,440.0
18,2020-09-11,124229386,ULINE INC,12017798,,2020-09-30,,479.55
18,2020-09-11,5096,ALBA ENTERPRISES LLC,12596765,,2020-09-30,,59.6
18,2020-09-11,696742,DEN HARTOG INDUSTRIES INC,12319129,,2020-09-30,,1474.85
18,2020-09-18,2NDHALF2019-9773,HUGHES COUNTY TREASURER,12054972,,2020-09-30,,103.6
18,2020-09-17,588635,H-O-H WATER TECHNOLOGY,12365991,,2020-09-30,,502.59
18,2020-09-15,X09232020-ADULT,AT&T MOBILITY II LLC,12279233,,2020-09-30,,379.78
18,2020-09-16,01582,MENARDS,12019798,12,2020-09-30,,2.02
06,2020-09-15,1982690,SIMON CONTRACTORS OF SD INC,12047408,,2020-09-30,,45.23
06,2020-09-15,604049669,HILLYARD,12026905,,2020-09-30,,26.32
11,2020-06-02,04M7-04,ANDERSON CONTRACTORS INC,12037230,,2020-09-30,,18222.9
19,2020-08-01,VRM200924345816,"THOMPSON, KEITH LEE",12508787,,2020-09-30,,41.95
06,2020-09-10,30646,WAGNER LAND & DEVELOPMENT CO,12134840,,2020-09-30,,618.27
19,2020-08-27,0298622-IN,RIVERSIDE TECHNOLOGIES INC,12163031,,2020-09-30,,219.0
18,2020-09-18,EC587293,LL HARDER INC,12040211,01,2020-09-30,,88.5
06,2020-09-09,P16904,DITCH WITCH OF SOUTH DAKOTA,12032966,,2020-09-30,,658.0
18,2020-09-17,S100431023.001,DAKOTA SUPPLY GROUP,12027834,,2020-09-30,,307.21
18,2020-09-17,740639,JDHQ HOTELS LLC,12592953,,2020-09-30,,150.0
18,2020-09-17,740638,JDHQ HOTELS LLC,12592953,,2020-09-30,,150.0
06,2020-09-09,66834,M G OIL COMPANY,12035221,,2020-09-30,,877.91
18,2020-09-16,S100428181.001,DAKOTA SUPPLY GROUP,12027834,,2020-09-30,,105.42
18,2020-09-16,41782,MENARDS,12019798,05,2020-09-30,,152.91
18,2020-09-16,19755,JANTECH LLC,12324145,,2020-09-30,,50.0
18,2020-09-15,X09232020-FN,AT&T MOBILITY II LLC,12279233,,2020-09-30,,5248.08
19,2020-08-27,001-00024375,B & L FOODSTORES INC,12049484,,2020-09-30,,42.38
18,2020-09-10,2020-07D,SIOUX FALLS SPECIALTY HOSPITAL,12039607,02,2020-09-30,,30.0
11,2020-08-28,888,SADDLE UP INC,12049883,,2020-09-30,,300.0
06,2020-09-14,43896,ANDERSON EXCAVATION&SANI INC,12023469,,2020-09-30,,275.0
18,2020-09-15,INV7962305,MARCO TECHNOLOGIES LLC,12201534,,2020-09-30,,68.15
06,2020-09-11,1265594,MIDWEST CUSTOM AG AVIATION INC,12625868,,2020-09-30,,4830.0
19,2020-08-05,1612,BOGEN CORPORATION,12613468,,2020-09-30,,147.01
19,2020-09-23,VRM200924348450,AVERA MCKENNAN,12029758,D6,2020-09-30,,12.03
19,2020-09-14,48345,BADGER STATE RECOVERY INC,12208910,,2020-09-30,,2.59
19,2020-09-14,AG-00009711,NORTHERN STATE UNIVERSITY,NSU,01,2020-09-30,,600.0
19,2020-09-15,498945,QUALIFIED PRESORT SERVICE LLC,12011039,,2020-09-30,,143.56
19,2020-09-15,498976,QUALIFIED PRESORT SERVICE LLC,12011039,,2020-09-30,,229.87
19,2020-09-16,21SC190021091620,"JANKORD, RICHARD",12100475,,2020-09-30,,1809.36
19,2020-09-16,36656837,MRO CORPORATION,12001913,,2020-09-30,,35.0
19,2020-09-16,DCC136151,ALLIED ASSESSMENTS INC,12174710,,2020-09-30,,387.28
06,2020-09-01,69950,M G OIL COMPANY,12035221,,2020-09-30,,835.16
19,2020-09-16,DCC136157,ALLIED ASSESSMENTS INC,12174710,,2020-09-30,,549.07
19,2020-09-11,1616,BOGEN CORPORATION,12613468,,2020-09-30,,229.54
19,2020-09-10,21SC191047 JUN,SOUTH DAKOTA ACHIEVE,12012500,,2020-09-30,,27.76
19,2020-09-09,21SC190017090920,"GRUENEICH, JESSICA LEE",12575282,,2020-09-30,,1130.85
06,2020-09-01,NH1STMTAUG,CLAY RURAL WATER SYSTEM INC,12034087,,2020-09-30,,26.0
19,2020-09-09,DCC139282,RADIOLOGY ASSOCIATES PROF LLC,12029822,01,2020-09-30,,61.28
06,2020-09-01,RC1GFP0820,KNECHT LLC,12555937,,2020-09-30,,1549.25
