document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y
2024-01-10,24SC08C333240110,ACTION FOR THE BETTERMENT OF,12014680,,2024-01-19,443225,300.57,8.0,SOCIAL SERVICES,,
2023-12-31,97469,MIEDEMA SANITATION INC,12040752,,2024-01-19,445008,519.0,16.0,MILITARY,,
2024-01-02,DK-SW23021-05,"KONECHNE, DAN E",12589295,,2024-01-19,445047,9000.0,16.0,MILITARY,,
2024-01-03,03003,MENARDS,12019798,06,2024-01-19,445017,293.25,16.0,MILITARY,,
2024-01-03,162143004,NORTHWESTERN CORPORATION,12028962,15,2024-01-19,445004,1047.82,16.0,MILITARY,,
2024-01-03,162143005,NORTHWESTERN CORPORATION,12028962,15,2024-01-19,445005,112.6,16.0,MILITARY,,
2024-01-03,RC0001899279-001,DENNIS SUPPLY COMPANY,12024632,,2024-01-19,445024,11.23,16.0,MILITARY,,
2024-01-04,03102,MENARDS,12019798,06,2024-01-19,445014,14.48,16.0,MILITARY,,
2024-01-11,M1240205,ABERDEEN CATHOLIC SCHOOLS,12034426,01,2024-01-19,M449591,336.26,12.0,EDUCATION,,
2024-01-11,M1240204,WHITE LAKE SCHOOL DIST 1-3,12055303,01,2024-01-19,M449590,1267.6,12.0,EDUCATION,,
2024-01-11,M1240198,BROOKINGS SCHOOL DISTRICT 5-1,12055336,01,2024-01-19,M449584,1914.0,12.0,EDUCATION,,
2024-01-11,M1240203,CRAZY HORSE SCHOOL,12033325,01,2024-01-19,M449589,21928.35,12.0,EDUCATION,,
2024-01-11,M1240201,TRIPP-DELMONT SCHOOL DISTRICT,12043785,01,2024-01-19,M449587,949.21,12.0,EDUCATION,,
2024-01-11,M1240201,WAGNER COMMUNITY SCHOOL 11-4,12055401,01,2024-01-19,M449587,2364.32,12.0,EDUCATION,,
2024-01-11,M1240201,WEBSTER AREA SCHOOL DIST 18-5,12239846,,2024-01-19,M449587,1182.83,12.0,EDUCATION,,
2024-01-11,M1240201,WESSINGTON SPRINGS SCHOOL,12055618,03,2024-01-19,M449587,736.61,12.0,EDUCATION,,
2024-01-11,M1240201,YANKTON SCHOOL DISTRICT 63-3,12055889,03,2024-01-19,M449587,7067.15,12.0,EDUCATION,,
2024-01-11,M1240202,DAKOTA CHRISTIAN HIGH SCHOOL,12030334,,2024-01-19,M449588,473.29,12.0,EDUCATION,,
